"AIRCRAFT_MODEL","AIRCRAFT_MANUFACTURER","SEAT_CAPACITY","AVG_RATING","REVIEW_COUNT"
"Unknown","Unknown",,1.5236511627906975,4301
"A320","Airbus",180,2.4030941704035875,223
"A319","Airbus",134,2.183768115942029,69
"A321","Airbus",220,2.3803846153846155,52
"A340","Airbus",295,1.4625,8
"Boeing 737","Boeing",189,1.6428571428571428,7
"Boeing 747","Boeing",467,1.1716666666666666,6
"A318","Airbus",132,2.825,2
"A330","Airbus",277,1.57,1
"A350","Airbus",300,3.8,1
"Boeing 757","Boeing",200,1.0,1
