"LOCATION_TYPE","AIRPORT","AVG_RATING","REVIEW_COUNT"
"Origin","IAH",1.7602840909090909,177
"Origin","BWI",2.0078048780487805,41
"Origin","ORD",1.691764705882353,204
"Origin","DEL",1.5255056179775281,89
"Origin","MEX",1.2,3
"Origin","MSY",1.4816304347826088,92
"Destination","MEX",1.0,4
"Destination","MSY",1.6363513513513515,74
"Destination","BWI",1.4808333333333332,24
"Destination","IAH",1.7743801652892561,121
"Destination","ORD",1.4558078602620088,229
"Destination","DEL",1.584375,80
"Origin","CUN",1.3388524590163935,61
"Origin","HAM",2.25,8
"Origin","MCO",1.510542372881356,295
"Origin","LIS",1.5478651685393257,89
"Origin","LGA",1.4820588235294119,34
"Destination","LIS",1.4177380952380954,84
"Destination","LGA",1.844878048780488,41
"Destination","MCO",1.683248730964467,394
"Destination","HAM",1.25,4
"Destination","CUN",1.4255555555555557,63
"Origin","PHL",2.174545454545455,11
"Origin","LAX",1.5046000000000002,200
"Origin","NCE",1.6,1
"Destination","LAX",1.6240291262135922,206
"Destination","NCE",1.415,2
"Destination","PHL",1.8776923076923078,13
"Origin","CLT",1.4696296296296296,27
"Origin","MIA",1.2207843137254901,51
"Destination","MIA",1.198,55
"Destination","NAP",1.0,2
"Destination","CLT",1.2896153846153846,26
"Origin","ATL",1.6327433628318584,226
"Origin","AKL",1.5521153846153846,52
"Origin","DEN",1.3059633027522934,109
"Origin","JFK",1.5154999999999998,60
"Origin","IST",1.2,1
"Origin","SEA",1.6627868852459018,61
"Origin","SFO",1.0,1
"Destination","JFK",1.3891803278688524,61
"Destination","SEA",1.5306521739130434,46
"Destination","AKL",1.4876923076923076,39
"Destination","ATL",1.5943939393939395,198
"Destination","DEN",1.6804210526315788,95
"Destination","IAD",1.125,2
"Origin","BOS",1.5784177215189872,158
"Origin","DFW",1.585771144278607,201
"Origin","NAS",1.4593548387096775,31
"Origin","MCI",1.5560606060606061,33
"Origin","SAN",1.6874683544303797,158
"Destination","MCI",1.8340625,32
"Destination","NAS",1.2551612903225806,31
"Destination","SAN",1.607063492063492,126
"Destination","BOS",1.4976635514018692,108
"Destination","DFW",1.7644886363636365,176
"Origin","AUS",1.483191489361702,47
"Origin","DTW",1.6165454545454547,165
"Origin","LIM",1.215,6
"Origin","EWR",1.316082474226804,97
"Origin","LAS",1.5159305993690853,317
"Origin","SJO",1.397142857142857,7
"Origin","TPA",1.55,4
"Destination","LAS",1.5343370786516852,445
"Destination","LIM",1.428,5
"Destination","EWR",1.5147863247863247,117
"Destination","SJO",1.0666666666666667,3
"Destination","TPA",2.046470588235294,17
"Destination","AUS",1.566,15
"Destination","DTW",1.444267515923567,157
"Origin","GOT",1.1828571428571428,7
"Origin","PUJ",1.1453846153846154,13
"Origin","PHX",1.5771052631578948,38
"Origin","MAA",1.2833333333333332,3
"Origin","TIA",1.3199999999999998,5
"Origin","MAN",1.1875,12
"Destination","PER",3.0,2
"Destination","PHX",1.627659574468085,47
"Destination","PUJ",1.4544444444444444,9
"Destination","MAN",2.1614285714285715,7
"Destination","GOT",1.1828571428571428,14
"Destination","MAA",1.8,1
"Destination","TIA",1.7600000000000002,5
